"object_id","term_taxonomy_id","term_order"
"200","90","0"
"201","7","0"
"201","13","0"
"201","85","0"
"201","86","0"
"202","2","0"
"202","3","0"
"202","119","0"
"202","120","0"
"203","7","0"
"203","15","0"
"203","32","0"
"203","33","0"
"204","2","0"
"204","12","0"
"204","13","0"
"204","117","0"
"204","118","0"
"205","2","0"
"205","113","0"
"205","114","0"
"205","115","0"
"205","116","0"
"206","2","0"
"206","11","0"
"206","12","0"
"206","44","0"
"206","111","0"
"206","112","0"
"207","10","0"
"207","13","0"
"207","97","0"
"207","107","0"
"207","108","0"
"207","109","0"
"207","110","0"
"209","2","0"
"209","25","0"
"209","56","0"
"209","57","0"
"211","2","0"
"211","121","0"
"211","122","0"
"211","123","0"
"212","13","0"
"212","56","0"
"212","87","0"
"212","132","0"
"213","2","0"
"213","13","0"
"213","106","0"
"213","133","0"
"213","134","0"
"214","7","0"
"214","14","0"
"214","128","0"
"214","130","0"
"214","131","0"
"215","2","0"
"215","106","0"
"215","127","0"
"215","128","0"
"215","129","0"
"216","2","0"
"216","124","0"
"216","125","0"
"216","126","0"
"497","2","0"
"497","13","0"
"497","206","0"
"497","207","0"
"497","208","0"
"499","7","0"
"499","14","0"
"499","59","0"
"499","209","0"
"501","2","0"
"501","166","0"
"501","210","0"
"501","211","0"
"506","2","0"
"506","93","0"
"506","187","0"
"506","188","0"
"506","207","0"
"508","2","0"
"508","3","0"
"508","39","0"
"508","212","0"
"511","2","0"
"511","11","0"
"511","127","0"
"511","204","0"
"511","213","0"
"514","2","0"
"514","3","0"
"514","39","0"
"514","72","0"
"514","134","0"
"514","214","0"
"516","13","0"
"516","33","0"
"516","65","0"
"516","215","0"
"516","216","0"
"518","13","0"
"518","129","0"
"518","217","0"
"518","218","0"
"518","219","0"
"520","2","0"
"520","29","0"
"520","41","0"
"520","42","0"
"520","220","0"
"522","2","0"
"522","63","0"
"522","109","0"
"522","221","0"
"522","222","0"
"540","2","0"
"540","67","0"
"540","223","0"
"545","2","0"
"545","12","0"
"545","169","0"
"545","170","0"
"545","224","0"
"550","2","0"
"550","21","0"
"550","225","0"
"550","226","0"
"564","7","0"
"564","14","0"
"564","25","0"
"564","39","0"
"564","227","0"
"574","11","0"
"574","12","0"
"574","13","0"
"574","14","0"
"574","28","0"
"574","72","0"
"574","106","0"
"574","228","0"
"595","11","0"
"595","12","0"
"595","13","0"
"595","28","0"
"595","106","0"
"595","133","0"
"595","134","0"
"624","10","0"
"624","12","0"
"624","13","0"
"624","212","0"
"624","230","0"
"624","231","0"
"624","232","0"
"627","10","0"
"627","12","0"
"627","13","0"
"627","28","0"
"627","63","0"
"627","127","0"
"627","233","0"
"627","234","0"
"640","236","0"
"640","237","0"
"640","238","0"
"641","238","0"
"641","239","0"
"641","240","0"
"645","923","1"
